id,大テーマ,中テーマ,キーワード
T01-01-001,マインドセットと基礎,マインドセット,AIの成長を全て自分の力にしよう
T01-01-002,マインドセットと基礎,マインドセット,今あるAIへの不満はすぐに解決される
T01-01-003,マインドセットと基礎,マインドセット,VibeCoderとは
T01-01-004,マインドセットと基礎,マインドセット,非エンジニアがVibe Coderになると何がいいのか
T01-01-005,マインドセットと基礎,マインドセット,本講座で学べる事と完成品のデモ
T01-02-001,マインドセットと基礎,ドキュメント文化,Text is KING/LLMはテキスト化が大事
T01-02-002,マインドセットと基礎,ドキュメント文化,Markdown形式の活用
T02-01-001,ツールと環境設定,入力＆IME,基本は音声入力
T02-02-001,ツールと環境設定,AIツール紹介,AI駆動開発で使用するAIツールの紹介
T02-02-002,ツールと環境設定,AIツール紹介,Gensparkとは
T02-03-001,ツールと環境設定,Cursor基本,Cursorとは
T02-03-002,ツールと環境設定,Cursor基本,Cursorの初期設定をしよう
T02-03-003,ツールと環境設定,Cursor基本,Cursorで使うショートカットキーの紹介
T02-04-001,ツールと環境設定,ランタイム環境,MCPサーバーを使おう
T02-04-002,ツールと環境設定,ランタイム環境,Node.jsとは
T02-04-003,ツールと環境設定,ランタイム環境,Node.js環境を構築しよう
T03-01-001,要件定義と計画,工程フロー理解,Webアプリ開発全体工程フローを理解しよう：その①
T03-01-002,要件定義と計画,工程フロー理解,Webアプリ開発全体工程フローを理解しよう：その②
T03-02-001,要件定義と計画,機能要件洗い出し,Claudeを使って要件定義・機能要件からスタートしよう
T03-02-002,要件定義と計画,機能要件洗い出し,詳細設計を考慮した機能要件の洗い出し
T03-03-001,要件定義と計画,要件ドキュメント化,要件定義の重要性
T03-03-002,要件定義と計画,要件ドキュメント化,要件定義はYAML形式で作ろう
T03-03-003,要件定義と計画,要件ドキュメント化,requirements.yamlを作ろう
T03-03-004,要件定義と計画,要件ドキュメント化,要件定義書をNotionにまとめてみよう
T04-01-001,アーキテクチャとディレクトリ設計,システム設計,developments_plan.mdを作ろう
T04-01-002,アーキテクチャとディレクトリ設計,システム設計,system_design.mdを作ろう
T04-01-003,アーキテクチャとディレクトリ設計,システム設計,APIとは
T04-01-004,アーキテクチャとディレクトリ設計,システム設計,開発するための技術スタックを選定してみよう
T04-01-005,アーキテクチャとディレクトリ設計,システム設計,アプリ全体の構成図をClaudeに聞いてみよう
T04-02-001,アーキテクチャとディレクトリ設計,ディレクトリ設計,/docsディレクトリで管理しよう
T04-02-002,アーキテクチャとディレクトリ設計,ディレクトリ設計,Claudeでディレクトリ設計をしてみよう
T04-03-001,アーキテクチャとディレクトリ設計,データベース設計文書化,databese.mdを作ろう
T05-01-001,データベースとバックエンド,RDB設計,supabaseとは
T05-01-002,データベースとバックエンド,RDB設計,PostgreSQLとは
T05-01-003,データベースとバックエンド,RDB設計,DB設計はAIに任せよう
T05-01-004,データベースとバックエンド,RDB設計,データベース設計からRDB図を出力してみよう
T05-01-005,データベースとバックエンド,RDB設計,Supabaseでデータベースを準備しよう
T05-02-001,データベースとバックエンド,Prisma & マイグレーション,SupabaseとPrismaの初期セットアップを始めよう
T05-02-002,データベースとバックエンド,Prisma & マイグレーション,テーブル設計とモデルのマイグレーション操作
T05-03-001,データベースとバックエンド,DAL & データ操作,Webアプリケーション開発でデータを取り扱う場合
T05-03-002,データベースとバックエンド,DAL & データ操作,SQLエディタを使ってシードデータを用意してみよう
